,,,,,,,,,,,,,,,,,,,,Change,,,,Growth
IVANHOE EAST,,562000,640000,755000,639500,,708000,,657500,,861000,778000,790000,1240000,,1245000,,827500,,0,,122,,8.3
JACANA,,320000 ^,330000,310000,421000,,430000,^,413000,,427000,488000,452000,465000,,461500,,495000,,-1,,44,,3.7
JOLIMONT,,700000,762500,1650000,1100000,,1125000,,942000,,1250000,1200000,1162500,1037000,,850000,,1176500,,-18,,21,,2.0
JUNCTION VILLAGE,,263500,247000,260000,310000,,275000,,285000,^,265000,268000,310000,370000,,445000,,480000,,20,,69,,5.4
KANGAROO FLAT,,227500,240500,237500,213500,,237500,,240000,,300000,324000,410000,432500,,404500,,528500,,-6,,78,,5.9
KEILOR,,400000 ^,629000,654000,760000,^,570000,^,627500,^,677500,785000,863500,645000,,820000,,610000,,27,,105,,7.4
KEILOR DOWNS,,340000,380500,382000,521500,,550500,,466000,,500000,600000,603000,570500,,600000,,631500,,5,,76,,5.8
KEILOR EAST,,482500,580000,488000,684000,,645000,,642000,,680000,745000,721500,756000,,750500,,720000,,-1,,56,,4.5
KENNINGTON,,155000,77500,207500,315000,,287500,,267500,,350000,351000,440000,425000,,400500,,492500,,-6,,158,,10.0
KENSINGTON,,431500,476000,459000,500000,,511000,,520000,,550000,540000,550000,492500,,529500,,457000,,8,,23,,2.1
KERANG,,175000 ^,187000,^   157500  ^,220000,^,180500,^,225000,^,197000,236500,220000,188000,,255000,,NA,,36,,46,,3.8
KEW,,648000,680000,800000,750000,,770000,,828000,,975000,928000,870000,828500,,825000,,762000,,0,,27,,2.4
KEW EAST,,625000,906000,^   830000  ^,634000,,994500,^,1292500,^,772500,970000,760000,1220000,,1043500,,645000,,-14,,67,,5.3
KEW NORTH,,792500,636000,634500       1177500,,,850000,,862000,,735500,995000,940000,775000,,798000,,762500,,3,,1,,0.1
KEYSBOROUGH,,439000,511000,490000,562500,,582500,,590000,,677500,687500,697000,650000,,715000,,730000,,10,,63,,5.0
KILMORE,,230000,252500,275000,275000,315000,,335000,,329500,,400000,415000,400000,409000,,,NA,,2,78                 5.9,,,
KILSYTH,,400000,425000,492500,547500,569000,,570000,,620000,,662500,700000,685500,700000,,,730000,,2,75                 5.8,,,
KINGS PARK,,272500 ^,300000,285000  ^,360000,^,420000,^,411000,^,420000,450000,425000,460000,441000,,,410000,,-4,62,,,4.9
KINGSBURY,,365000,400000,450000,485000,,521000,,547500,,547500,602500,460000,502500,535500,,,532000,,7,47,,,3.9
KINGSVILLE,,325000,400000,407000,404000,,445000,,415000,,531000,581000,400000,389000,430000,,,443500,,11,32,,,2.8
KNOXFIELD,,500000,562000,592000,623500,,645000,,625000,,686000,785000,760000,770000,799500,,,752000,,4,60,,,4.8
KOO WEE RUP,,230000,270000,277500,358000,,380000,,415000,^,391500,416000,480000,470000,485000,,,550000,,3,111,,,7.7
KOOYONG,,705000,1170000,1410000,762500,^,935000,,750000,^,1460000,842500,1015000,1100000,1609500,,,3215000,,46,128,,,8.6
KORUMBURRA,,215000,198000,210000,221500,,259000,,319000,,308000,350000,410000,415000,450000,,,420000,,8,109,,,7.7
KURUNJANG,,268500,261000,250000,309000,,360000,,372000,,347500,392500,388500,412500,403000,,,410000,,-2,50,,,4.1
KYABRAM,,181500,160000,199000,220000,,227000,,205000,,210000,282500,330000,367500,378500,,,325000,,3,108,,,7.6
KYNETON,,297500,325000,360500,389000,,408000,,420000,,425000,555000,682500,620000,607500,,,520000,,-2,104,,,7.4
LAKE WENDOUREE,,372500,305000,313000,362500,,442500,,412000,,445000,480000,704000,525000,575000,,,495000,,10,54,,,4.4
LAKES ENTRANCE,,235000,250000,255000,265000,,257000,,265000,,300000,309000,419500,692500,510000,,,640000,,-26,117,,,8.1
LALOR,,315000,327000,375500,440500,,442500,,445000,,484000,538000,538000,513500,520000,,,558000,,1,65,,,5.1
LANGWARRIN,,310000,316500,356000,435000,,460000,,450500,,480000,570000,600000,600000,580000,,,560000,,-3,87,,,6.5
LARA,,265000,300000,294000,320000,,353000,,377500,^,380000,495000,515000,485000,460000,,,425000,,-5,74,,,5.7
LARA LAKE,,314000,285000,267000,312500,,355000,,379000,,380000,462500,461500,489000,471000,,,455000,,-4,50,,,4.1
LAVERTON,,323000,375000,425000,414500,,448500,,507500,,506500,562500,500000,515000,520000,,,527500,,1,61,,,4.9
LAVERTON SOUTH,,341000,361000,370000,438500,,480000,,475000,,465000,488000,510000,505000,525000,,,540000,,4,54,,,4.4
LEONGATHA,,265000,292500,276000,265000,,265000,,247500,,315000,352500,397500,440000,420000,,,380000,,-5,58,,,4.7
LEOPOLD,,291000,285000,308000,308500,,360000,,391500,,410000,480000,553500,480000,500000,,,450000,,4,72,,,5.6
LILYDALE,,367500,400000,440000,463000,,525500,,500000,,515000,582500,585000,612000,610000,,,612500,,0,66,,,5.2
LONG GULLY,,223000,230000,239000,216500,,250000,,255000,,295000,340500,391500,340000,392500,,,350000,,15,76,,,5.8
LONGWARRY,,212500,252500,270500,308000,,350000,,335000,^,345000,400000,472500,462500,455000,,,510000,,-2,114,,,7.9
LORNE,,553000,755000,593000,567500,,777500,,815000,,762500,965000,1025000,1297500,1187500,,,1112500,,-8,115,,,7.9
LOWER PLENTY,,441500,491500,567000,560000,,517500,,552500,,665000,675000,687000,610000,732500,,,700500,,20,66,,,5.2
LYNBROOK,,372500,370000,^   421000,450000,^,244000,,535000,^,525000,550000,636000,602500,620000,,,NA,,3,66,,,5.2
MACLEOD,,481000,554000,543500,650000,,634000,,642000,,675500,770000,777500,780500,821500,,,625000,,5,71,,,5.5
MAIDSTONE,,435000,482500,500000,600000,,600000,,582500,,642500,640000,567500,609000,638000,,,615000,,5,47,,,3.9
MALVERN,,759000,672000,649000,740000,,844500,,730000,,895000,796500,760000,774500,685000,,,580000,,-12,-10,,,-1.0
MALVERN EAST,,525000,591000,660000,628500,,640000,,637000,,660000,740000,674000,616000,600000,,,490500,,-3,14,,,1.3
MANIFOLD HEIGHTS,,306000,285000,262000,335000,,360000,,339000,,428000,489000,500000,436500,395000,,,400000,,-10,29,,,2.6
MANSFIELD,,284500,275000,257000,265000,,342500,,340000,,385000,433000,450000,575000,,545000,,535000,,-5,,92,,6.7
MARIBYRNONG,,460000,459000,459500,486000,,466500,,510000,,505000,525000,555000,515000,,492500,,481000,,-4,,7,,0.7
MARSHALL,,85000,316000,335000,335000,,360000,^,370000   ^,,415000,465000,510000,495000,,447500,,465000,,-10,,426,,18.1
MARYBOROUGH,,178000,193500,219000,215000,,227500,,208000,,246500,297500,292500,320000,,307000,,258500,,-4,,72,,5.6
MCCRAE,,436000,490000,607500,682000,,685000,,700000,,572500,750000,860000,895000,,830000,,659000,,-7,,90,,6.6
MCKINNON,,600000,687000,655000,730000,,780000,,692500,,851000,941000,951500,855000,,820000,,486000,,-4,,37,,3.2
MEADOW HEIGHTS,,268000,285000,300000,350000,,400000,,376500,,414500,437500,447000,450000,,471000,,455000,,5,,76,,5.8
MELBOURNE,,524500,577000,583000,606000,,585000,,570000,,591000,527500,560500,545000,,575000,,493000,,6,,10,,0.9
MELTON,,249500,225000,229500,274500,,317000,,314000,,320000,345000,370000,370000,,380000,,378500,,3,,52,,4.3
MELTON SOUTH,,215000,221500,230000,280000,,320000,,305000,,311000,335000,352500,365000,,370000,,420000,,1,,72,,5.6
MELTON WEST,,262500 ^,257500,275000,350000,,385000,,362000,,397000,430000,408000,396000,,412500,,467500,,4,,57,,4.6
MENTONE,,486500,475000,550000,558000,,582000,,601000,,645000,685000,663000,685000,,605000,,775000,,-12,,24,,2.2
MERINDA PARK,,287000,287000,^   315000  ^,385500,^,430000,^,430000,*,454500,470000,540000,510000,,532500,,507000,,4,,86,,6.4
MERNDA,,329000,315000,317500,400000,,424000,,368000,,375000,435000,445000,475000,,517500,,550000,,9,,57,,4.6
MICKLEHAM,,342000 ^,342000,*   430000  ^,457500,^,472000,^,422500,^,491500,525000,561000,565000,,590000,,585000,,4,,73,,5.6
MIDDLE PARK,,670000,650000,748500,760000,,702500,,735000,,829000,1055000,721000,710000,,920000,,1680000,,30,,37,,3.2
MILDURA,,161500,163000,180000,189000,,219000,,220000,,211500,256000,298000,315000,,320000,,354500,,2,,98,,7.1
MILL PARK,,357000,382500,395000,440000,,455500,,444500,,440000,501000,510000,492000,,517500,,642500,,5,,45,,3.8
MITCHAM,,552000,640000,677500,675000,,665000,,708000,,761000,821500,775000,820000,,825000,,885000,,1,,49,,4.1
MOE,,151500,126000,134000,129000,,133500,,166000,,145000,201500,245000,240000,,250000,,179500,,4,,65,,5.1
MONT ALBERT,,597500,635000,727000,725000,,740000,,707000,,749500,809000,821500,770000,,796000,,800000,,3,,33,,2.9
MONT ALBERT NORTH,,840000,872500,932500,1020000,,1094000,,888000,,1022500,1278500,1140000,1300000,,1222500,,1280000,,-6,,46,,3.8
MONTMORENCY,,495500,552500,628000,711000,,690500,,685000,,784000,818000,876000,813000,,840000,,812500,,3,,70,,5.4
MOONEE PONDS,,475000,463500,525000,529500,,534500,,495000,,525000,662000,605000,500000,,565000,,524500,,13,,19,,1.8
MOORABBIN,,477500,484000,570000,650000,,590000,,645000,,630000,716500,701000,660000,,747500,,580000,,13,,57,,4.6
MOOROOLBARK,,381000,410500,495000,596500,,568000,,567500,,591000,665000,691500,655000,,690000,,702500,,5,,81,,6.1
MOOROOPNA,,157500,165000,167000,161500,,161500,,175000,,187000,259000,260000,295000,,315000,,235000,,7,,100,,7.2
MORDIALLOC,,455000,538500,545000,585000,,644000,,617500,,633500,760000,660500,710000,,670000,,785000,,-6,,47,,3.9
MORNINGTON,,461500,485000,587000,598000,,671500,,650000,,700000,780000,800000,810000,,780000,,652000,,-4,,69,,5.4
MORWELL,,142000,180000,152500,160000,,149500,,175500,,171500,195000,285000,250000,,255000,,219000,,2,,80,,6.0
MOUNT CLEAR,,256500,215000,227500,263000,,270000,,275500,,352500,395000,460000,399000,,377500,,408000,,-5,,47,,4.0
MOUNT ELIZA,,453000,445000,500000,595500,,535000,,591500,,640000,720000,875000,750000,,875000,,557500,,17,,93,,6.8
MOUNT EVELYN,,423000,435500,438500,663500,^,645000,,550500,,630000,695000,667500,631000,,785000,,810000,,24,,86,,6.4
MOUNT MARTHA,,447500,510000,550000,623500,570000,,,650000,,530000,812000,786500,779500,,770000,,752000,,-1,,72,,5.6
MOUNT PLEASANT,,235000 ^,264500,^   255000  ^,266500,275000,,,245000,,290500,395000,390000,422500,,375500,,330000,,-11,,60,,4.8
MOUNT WAVERLEY,,720000,800000,851000,930000,905000,,,963000,,998000,1150000,868000,1051000,,1076500,,865000,,2,,50,,4.1
MULGRAVE,,500000,600000,614500,665000,750000,,,748500,,766000,764000,795000,750000,,863500,,830000,,15,,73,,5.6
MURRUMBEENA,,525000,520500,530000,580000,602500,,,554500,,599000,590000,598000,587500,,591000,,375000,,1,,13,,1.2
NARRE WARREN,,294000,319000,350000,420000,447500,,,426500,,450000,505000,535500,550000,,561500,,565000,,2,,91,,6.7
NARRE WARREN SOUTH,,375000,349000,402500,431000,477500,,^,475000,^,530000,590000,625000,640000,,615000,,675000,,-4,,64,,5.1
NEWCOMB,,276500,270500,250000,296000,355000,,,350000,,390000,450000,504000,480000,,475000,,481000,,-1,,72,,5.6
NEWPORT,,577500,620500,650000,700000,652500,,,715000,,703500,800000,752500,795500,,780000,,845500,,-2,,35,,3.1
NEWTOWN (GREATER GEELONG),,337500,368000,420000,420500,392500,,,553500,,465000,660000,595500,570000,,625000,,509000,,10,,85,,6.4
NIDDRIE,,457000,545000,616500,646000,672500,,,660000,,682500,770000,755500,685500,,722000,,505000,,5,,58,,4.7
NOBLE PARK,,324000,352500,390000,450000,480000,,,460000,,475000,530000,552500,538000,,540000,,437500,,0,,67,,5.2
NOBLE PARK NORTH,,305000,381000,^   392500,463500,502000,,,507500,^,477000,542000,612500,552500,,612000,,520000,,11,,101,,7.2
NORLANE,,221500,215000,225000,268000,290000,,,310000,,330000,380000,465000,410000,,392500,,326500,,-4,,77,,5.9
NORTH BENDIGO,,222500,266000,239000,290000,269500,,,258000,,275000,378000,414000,395000,,407500,,330500,,3,,83,,6.2
NORTH GEELONG,,191000,270000,^   215000  ^,313500,321500,,^,396500,,390000,250000,397000,338500,,420000,,414000,,24,,120,,8.2
NORTH MELBOURNE,,529000,526500,550000,579000,564500,,,491000,,580000,570000,587500,550000,,520000,,477500,,-5,,-2,,-0.2
NORTHCOTE,,530000,499500,530000,510000,566500,,,596000,,680000,735000,630500,625000,,636000,,596500,,2,,20,,1.8
NOTTING HILL,,409000,400000,327000,337000,320000,,,398000,,357500,416500,415000,400000,,425000,,443500,,6,,4,,0.4
NUMURKAH,,150000 ^,205000,160000,150000,190000,,,175000,,195000,228500,275000,275000,,305000,,NA,,11,,103,,7.4
NUNAWADING,,482500,593500,652500,711000,599000,,,612000,,715000,775000,752500,735000,,797500,,685000,,9,,65,,5.2
OAK PARK,,470000,515000,525000,578000,630000,,,658000,,639500,635000,623000,611000,,650000,,565000,,6,,38,,3.3
OAKLEIGH,,460000,487000,545000,550000,604000,,,626500,,600000,614000,607500,590000,,570000,,521000,,-3,,24,,2.2
OAKLEIGH EAST,,615000,678500,730000,810000,795000,,,816000,,787500,854000,803000,939000,,855000,,748500,,-9,,39,,3.3
OAKLEIGH SOUTH,,506000,535000,663000,765000,772500,,,695000,,820000,831000,775500,860000,,790000,,660000,,-8,,56,,4.6
OCEAN GROVE,,410000,435000,491500,540000,605000,,,622500,,645000,860000,927500,885000,,725000,,895000,,-18,,77,,5.9
OFFICER,,348000,362000,369000,387000,449000,,,421500,,499500,495000,583000,547500,,555000,,540000,,1,,59,,4.8
ORMOND,,498500,481000,562000,564000,572500,,,599000,,669000,680000,579500,596000,,585000,,519000,,-2,,17,,1.6
OSBORNE,,460000,500000,530000,561500,647500,,,640000,,620000,750000,740000,820000,,794000,,872000,,-3,,73,,5.6
PAKENHAM,,280000,290000,310000,359000,400000,,,372500,,400000,440000,480000,478500,,490000,,488000,,2,,75,,5.8
PARKDALE,,497000,547000,625000,650000,690000,,,674500,,760000,781000,747500,756500,,760000,,640000,,0,,53,,4.3
PARKVILLE,,505000,526000,526000,549500,500000,,,456500,,543500,521500,570000,525000,,520000,,567500,,-1,,3,,0.3
PASCOE VALE,,465000,478000,505000,580000,620000,,,610000,,630000,669500,637500,623000,,630000,,610000,,1,,35,,3.1
PASCOE VALE SOUTH,,440000,495000,543000,620000,,630000,,600000,,530000,710000,615000,592500,,677500,,730000,,14,,54,,4.4
PATTERSON LAKES,,417500,475000,470000,551500,,625000,,587500,,595000,627500,675000,715000,,640000,,698500,,-10,,53,,4.4
PAYNESVILLE,,236500,233000,266000,270000,,275000,,275000,,289000,350000,372500,398000,,434500,,502000,,9,,84,,6.3
POINT COOK,,327500,355000,375000,450000,,474000,,455000,,457000,475000,544000,560000,,531000,,550000,,-5,,62,,5.0
PORT MELBOURNE,,750000,670000,678000,700000,,687000,,730000,,752000,860500,780000,743500,,758500,,707500,,2,,1,,0.1
PORTARLINGTON,,300000,340000,359000,405000,,537000,,492000,,507500,672500,695000,639000,,757500,,547500,,19,,153,,9.7
PORTLAND,,225000,210000,145000,175000,,171500,,189500,,191000,224500,340000,359000,,300000,,382500,,-16,,33,,2.9
PRAHRAN,,548000,530000,595000,585000,,542000,,602500,,573000,600000,587500,515000,,540000,,450000,,5,,-1,,-0.1
PRESTON,,440000,450000,455000,450000,,500000,,500000,,550000,617000,612500,575500,,610000,,600000,,6,,39,,3.3
QUARRY HILL,,170500 ^,282000,^   225000  ^,226500,^,266000,^,282000,,300000,367500,375000,395000,,431000,,542000,,9,,153,,9.7
REDAN,,217500,218000,209500,230000,,250000,,255000,,320000,327000,362000,392500,,335000,,350000,,-15,,54,,4.4
RESERVOIR,,380000,390000,430000,534000,,568500,,558000,,582000,640000,630000,619500,,630000,,647000,,2,,66,,5.2
RICHMOND,,540000,551000,550000,585000,,599000,,579000,,575500,645000,595500,595500,,570500,,540000,,-4,,6,,0.6
RIDDELLS CREEK,,350000 ^,326500,^   380000  ^,386500,,400000,,490000,,526500,575000,600000,600000,,610000,,520000,,2,,74,,5.7
RINGWOOD,,445000,475000,495000,558000,,549500,,539000,,595500,630000,597500,620000,,630000,,558500,,2,,42,,3.5
RINGWOOD EAST,,440000,535000,540500,660000,,632000,,629000,,630000,715000,720000,725000,,734500,,715000,,1,,67,,5.3
RINGWOOD NORTH,,600000,600000,733000,652500,,827500,,760000,,820000,847500,873000,904000,,962500,,776000,,6,,60,,4.8
RIPPLESIDE,,416000 ^,787500,740000,742500,^,852500,^,690000   ^,,762500,1218500,816000,532000,,1045000,,650500,,96,,151,,9.7
RIPPONLEA,,430000,482500,470000,612000,,559000,,525500,,542500,543500,662500,594000,,600000,,NA,,1,,40,,3.4
ROCKBANK,,379000 ^,230000,^   230000  *,415000,^,420000,^,402500,^,485000,295000,495000,550000,,516000,,536000,,-6,,36,,3.1
ROMSEY,,319000,315500,330500,288000,,350000,,425000,,437500,471000,530000,530000,,562500,,530000,,6,,76,,5.8
ROSANNA,,480000,620000,646000,745000,,749000,,685000,,775000,842000,834000,862500,,842000,,969000,,-2,,75,,5.8
ROSEBUD,,375000,380000,432000,502000,,530000,,526000,,577000,665000,750000,670000,,700000,,631000,,4,,87,,6.4
ROSEBUD SOUTH,,445000,453500,472500,520500,,566000,,520000   ^,,615000,705000,745000,700000,,735000,,NA,,5,,65,,5.1
ROWVILLE,,387500,420000,452000,460000,,587500,,582000,,613000,665000,662500,725000,,690000,,585500,,-5,,78,,5.9
ROXBURGH PARK,,314000,323500,321000,398000,,390000,,401000,,390000,428000,455000,475000,,482500,,452500,,2,,54,,4.4
RYE,,425000,370000,410000,480000,,550000,,480000,,635000,950000,697500,686500,,715000,,675000,,4,,68,,5.3
SAFETY BEACH,,435500,312000,453500,666000,,662500,,645000,,705000,790000,877500,855000,,970000,,661000,,13,,123,,8.3
SALE,,205000,220000,221000,282500,,207500,,214000,,235000,265000,317500,330000,,327000,,365000,,-1,,60,,4.8
SAN REMO,,330000 ^,255000,294000,360000,,360000,,243500   ^,,419000,642500,660000,550000,,515000,,600000,,-6,,56,,4.6
SANCTUARY LAKES,,380000,382000,380500,429000,,420000,,532500,,547500,530000,600000,580000,,622500,,535000,,7,,64,,5.1
SANDRINGHAM,,535000,574000,721000,724500,,660000,,781000,,685000,879000,858000,835000,,735000,,640000,,-12,,37,,3.2
SCORESBY,,450000 ^,546500,550000,630000,,610000,,570000,,620000,725000,729000,705000,,740000,,732500,,5,,64,,5.1
SEAFORD,,350000,357500,413000,463000,,506500,,497500,,570000,617000,639000,630000,,647000,,620000,,3,,85,,6.3
SEBASTOPOL,,210000,215000,212000,218500,,236000,,235500,,285000,322000,355000,350000,,345000,,330000,,-1,,64,,5.1
SEDDON,,425500,483000,520000,492500,,740000,,675000,,513500,545000,502500,425000,,494500,,615500,,16,,16,,1.5
SEYMOUR,,175000,74000,^   190000,163000,,185000,,195000,,251000,347500,392500,334000,,250000,,222000,,-25,,43,,3.6
SHEPPARTON,,214500,215000,210000,225000,,195000,,252000,,229500,264000,360000,330000,,369500,,419500,,12,,72,,5.6
SKYE,,354000,320000,339000,410000,,459000,,445000,,475000,540000,570000,544000,,599000,,575000,,10,,69,,5.4
SOLDIERS HILL,,260000 ^,255000,295000,284000,,417000,,322500,,355000,446000,456500,380000,,362500,,300000,,-5,,39,,3.4
SOMERVILLE,,329000,320000,350000,405000,,475000,,453500,,490000,520000,596000,585000,,622500,,640000,,6,,89,,6.6
SOUTH KINGSVILLE,,435500,413500,574000,630000,,762500,,656500,,690000,770000,790000,780000,,770000,,490000,,-1,,77,,5.9
SOUTH MELBOURNE,,567500,585000,591500,625000,,630000,,610000,,590000,690000,665000,655000,,612000,,575000,,-7,,8,,0.8
SOUTH MORANG,,334000,360000,365000,423000,,450500,,407000,,475000,475000,498000,520000,,545000,,500000,,5,,63,,5.0
SOUTH YARRA,,567000,612500,660000,621500,,596000,,605000,,631500,645000,600000,600000,,560000,,490000,,-7,,-1,,-0.1
SOUTHBANK,,550000,582500,600000,585000,,592000,,610000,,593000,580000,611000,605000,,600000,,572500,,-1,,9,,0.9
SPOTSWOOD,,488500,410500,543500,635000,,670000,^,650000,,697000,597500,661000,774000,,715000,,570000,,-8,,46,,3.9
SPRING GULLY,,235000,210000,220000,306500,,281500,,285000,,335000,350000,275000,387500,,392500,,475000,,1,,67,,5.3
SPRINGVALE,,418000,420000,448000,470000,,550000,,516000,,600000,615000,610000,586500,,627500,,644500,,7,,50,,4.1
SPRINGVALE SOUTH,,377500,398000,412000,454000,,525000,,470000,,489000,612500,630500,630000,,638500,,600000,,1,,69,,5.4
ST ALBANS,,297000,323000,340000,382500,,440000,,430000,,467500,492000,490000,484000,,500000,,506000,,3,,68,,5.3
ST ALBANS PARK,,249000,252500,261500,275000,,327500,,375000   ^,,335000,412000,474500,385000,,470000,,487000,,22,,89,,6.6
ST KILDA,,492500,515000,517000,540000,,558500,,560000,,559000,559500,528500,534500,,520000,,492500,,-3,,6,,0.5
ST KILDA EAST,,499000,548000,535000,577500,,565500,,594500,,600000,611500,610000,599500,,572500,,620000,,-5,,15,,1.4
ST KILDA WEST,,495000,536500,545000,600000,,511000,,575000,,635000,592000,595000,495000,,569000,,492500,,15,,15,,1.4
ST LEONARDS,,320000,382500,325000,352000,,345000,,419000,,408000,577000,630000,715000,,570000,,494000,,-20,,78,,5.9
STAWELL,,148000 ^,156000,^   115000  ^,163500,^,132500,^,221500,,145000,247500,217000,220000,,306000,,193500,,39,,107,,7.5
STRATHDALE,,262000,252500,239500,270000,,260000,,273500,,295000,408500,417500,470500,,406500,,380000,,-14,,55,,4.5
STRATHMORE,,620000,519500,559000,695000,,689000,,732000,,762500,837500,740000,792000,,720000,,587500,,-9,,16,,1.5
STUDFIELD,,592000,569000,650000,720000,,660000,,728000,,643000,660000,747500,755000,,720000,,806000,,-5,,22,,2.0
SUNBURY,,316000,320000,358000,375000,,415000,,412500,,431000,453000,484000,471500,,510000,,510000,,8,,61,,4.9
SUNSHINE,,370000,375000,385000,422500,,336000,,390000,,550000,605000,414000,631000,,470000,,618500,,-26,,27,,2.4
SUNSHINE NORTH,,342500,355000,415000,450000,,515000,,435000,,555000,599000,600000,605000,,586000,,641000,,-3,,71,,5.5
SUNSHINE WEST,,350000,358000,385000,438000,,464000,,480000,,500000,570000,570000,580000,,590000,,600000,,2,,69,,5.4
SURREY HILLS,,621000,695000,720000,857500,,782000,,770000,,815000,925000,840000,906000,,870000,,777500,,-4,,40,,3.4
SWAN HILL,,185000,189000,230000,222500,,215000,,243000,,242500,305500,336500,340000,,340000,,276000,,0,,84,,6.3
SYDENHAM,,296500,307500,342500,371000,,422000,,416000,,430000,460000,485000,470000,,510500,,455000,,9,,72,,5.6
SYNDAL,,670000,855000,692500,820500,,795000,,959000,,1075000,925000,1012000,1159000,,1057500,,1270000,,-9,,58,,4.7
TARNEIT,,299000,300000,320500,377500,,403000,,389000,,436500,430000,442000,485000,,470000,,442500,,-3,,57,,4.6
TATURA,,165000,180000,^   184500,180000,^,195000,,221500,,215500,265000,280000,367000,,330000,,245000,,-10,,100,,7.2
TAYLORS HILL,,326000,374000,361000,473000,,492000,^,445000,^,516500,485000,573500,525000,,564000,,551500,,7,,73,,5.6
TAYLORS LAKES,,349000,379000,402000,466000,^,7000,^,455000,^,453000,507500,590000,515000,,605000,,590000,,17,,73,,5.7
TEMPLESTOWE,,670500,732000,720000,777000,,845000,,745000,,735000,897500,998000,836500,,910000,,610000,,9,,36,,3.1
TEMPLESTOWE LOWER,,567500,700000,699000,880000,,810000,,777000,,880000,933500,985000,1050000,,1010000,,807500,,-4,,78,,5.9
THOMASTOWN,,300000,317000,340000,438000,,449000,,455000,,477500,510000,502000,475000,,515000,,578500,,8,,72,,5.6
THORNBURY,,457500,509000,519000,572000,,565000,,595000,,600000,680500,650000,628000,,580000,,550000,,-8,,27,,2.4
TOORAK,,825000,1000000,1305000,1175000,,1025000,,1100000,,1125000,1079500,1250000,1200000,,975000,,780000,,-19,,18,,1.7
TORQUAY,,452500,472000,485000,593500,,654000,,617500,,625000,845000,887500,895000,,902500,,745000,,1,,99,,7.1
TRAFALGAR,,257500 ^,235000,^   250000  ^,275000,^,297500,,310000,,400000,379000,465000,455000,,425000,,590000,,-7,,65,,5.1
TRARALGON,,249000,209000,225000,200000,,212500,,215000,,219000,290000,299500,330000,,323000,,352500,,-2,,30,,2.6
TRAVANCORE,,430000,352000,363000,355000,,348500,,350000,,353000,427500,341500,340000,,373500,,350000,,10,,-13,,-1.4
TRUGANINA,,285000,325000,334000,408000,,428500,,415000,,420500,439000,490000,485000,,492500,,481500,,2,,73,,5.6
TULLAMARINE,,340000,362500,399500,472500,,486000,,480000,,505000,575000,525000,530000,,560000,,574000,,6,,65,,5.1
TYABB,,335000,308000,320000,389000,,428000,,443500,,495000,520000,630000,677500,,595000,,630000,,-12,,78,,5.9
VERMONT,,620000,677500,680000,741500,,757500,,725000,,710000,921000,853500,989000,,934000,,880000,,-6,,51,,4.2
VERMONT SOUTH,,600000,838000,699000,596500,,778000,,649000,,951000,735000,935000,728000,,970000,,832500,,33,,62,,4.9
VIEWBANK,,475000,557500,510000,655000,,580000,,636500,,682000,690000,770000,740000,,685000,,900000,,-7,,44,,3.7
WALLAN,,265000,263000,277000,325000,,330000,^,360000,,383500,405000,440000,445000,,434000,,465000,,-2,,64,,5.1
WALLAN EAST,,251000,245000,277000  ^,322000,,377500,,358000,,365000,410000,442500,435500,,440000,,440000,,1,,75,,5.8
WANGARATTA,,214000,210000,205500,190000,,202500,,229500,,242000,320500,340000,365000,,342500,,355000,,-6,,60,,4.8
WANTIRNA,,460000,557500,575000,615000,,670000,,640000,,735000,675000,735000,715000,,697500,,815000,,-2,,52,,4.3
WANTIRNA SOUTH,,462000,484000,501500,510000,,537500,,495000,,535000,699500,479500,475500,,500000,,469500,,5,,8,,0.8
WARRAGUL,,250000,242500,263000,290000,,310000,,300000,,327500,347500,400000,425000,,445000,,445000,,5,,78,,5.9
WARRNAMBOOL,,258500,252500,252500,256000,,252000,,280000,,307000,375000,430000,420500,,419500,,449000,,0,,62,,5.0
WATSONIA,,455500,521000,549500,570000,,525000,,515000,,687000,750000,701500,730000,,755000,,758000,,3,,66,,5.2
WENDOUREE,,239500,209000,240000,225000,,215000,,270000,,262500,337000,387000,385000,,318000,,357500,,-17,,33,,2.9
WERRIBEE,,261500,287000,305000,360000,,389000,,381000,,380000,407000,420000,423000,,428500,,450000,,1,,64,,5.1
WERRIBEE SOUTH,,568000,589000,489000,495000,,420000,,467500,,547500,515000,477500,460000,,445000,,490000,,-3,,-22,,-2.4
WEST FOOTSCRAY,,412500,440000,429500,487000,,440000,,505000,,602500,581000,607500,516500,,530000,,435000,,3,,28,,2.5
WEST MELBOURNE,,470000,538500,527500,590000,,610000,630000,,,688000,662500,580000,623500,,570000,,433500,,-9,,21,,1.9
WEST WODONGA,,195000,198000,205000,207500,,215000,235000,,,220000,285000,330000,360000,,375000,,387500,,4,,92,,6.8
WESTALL,,465000,530000,426000,590000,,562500,600000,,,600000,645000,680000,562500,,640000,,632500,,14,,38,,3.2
WESTGARTH,,485000,508500,497500,567500,,545000,550000,,,582500,725000,645000,605000,,715000,,760000,,18,,47,,4.0
WESTMEADOWS,,379000,400000,410000,455000,,525000,511000,,,549000,587000,616000,555500,,600000,,595000,,8,,58,,4.7
WHEELERS HILL,,535000,632500,753500,845000,,826000,803000,,,811000,998000,865000,982000,,961000,,825000,,-2,,80,,6.0
WHITE HILLS,,191500 ^,210000,295000,260000,^,319500,260000,,,330000,415500,416500,415000,,495000,,547500,,19,,158,,10.0
