,,,,,,,,,,,,,,,,,,,,Change,,,,Growth
BULLEEN,,629000,722500,768000,787000,746000,,,675000,,751000,755000,845000,890000,,790000,,938000,,-11,,26,,2.3
BUNDOORA,,406500,407500,401000,437000,441500,,,419000,,470000,475000,470000,460000,,470000,,455000,,2,,16,,1.5
BURNLEY,,420000,412500,470000  ^,497500,987500,,^,445000,^,539000,513000,572000,535000,,336500,,527000,,-37,,-20,,-2.2
BURWOOD,,592500,596000,666000,750000,710000,,,723000,,762000,860000,810000,861000,,787500,,600000,,-9,,33,,2.9
BURWOOD EAST,,530000,600000,600000,835000,561000,,,599500,,627000,668000,639000,622500,,698000,,548000,,12,,32,,2.8
CAIRNLEA,,380000 ^,429000,392500,403000,429500,,,432500,,395000,419000,425000,425000,,413500,,404500,,-3,,9,,0.9
CALIFORNIA GULLY,,200000 ^,246000,^   195000,220000,265000,,^,197000,,290000,297000,345000,365000,,315500,,445000,,-14,,58,,4.7
CAMBERWELL,,695000,730000,728500,844000,920500,,,828500,,814000,900500,950000,938500,,914500,,785000,,-3,,32,,2.8
CAMPBELLFIELD,,270000,355000,354500,420000,361000,,,343000   ^,,410000,429000,413000,394000,,388500,,368000,,-1,,44,,3.7
CANADIAN,,265000,270000,250000,279000,271000,,,308000,,295000,390000,407500,381000,,389000,,400000,,2,,47,,3.9
CANTERBURY,,1065000,1201000,1001000,911000,975000,,,1205000,,944000,1142500,1100000,1115000,,1040000,,714000,,-7,,-2,,-0.2
CAPEL SOUND,,345500,400000,405000,500000,479000,,,540000,,540000,630000,718000,675000,,588000,,761500,,-13,,70,,5.5
CARLTON,,445000,543000,530500,422500,429000,,,417000,,340000,511000,435000,395000,,409000,,322500,,4,,-8,,-0.8
CARLTON NORTH,,602500,560000,545000,650000,715000,,,579000,,675500,666500,685000,680000,,700000,,610000,,3,,16,,1.5
CARNEGIE,,535000,540000,570000,590500,570000,,,635000,,640000,621000,632000,620000,,604000,,598000,,-3,,13,,1.2
CAROLINE SPRINGS,,410000,395000,395000,436500,458000,,,460000,,470000,465000,487500,481500,,505500,,460000,,5,,23,,2.1
CARRUM,,460000,521000,542500,635000,672500,,,617500,,663000,771500,745000,730000,,762500,,800000,,4,,66,,5.2
CARRUM DOWNS,,301500,319000,345000,388000,430000,,,433000,,460000,545500,585000,557500,,580000,,600500,,4,,93,,6.8
CASTLEMAINE,,267500,317500,327500,332500,396500,,,415000,,431000,505000,554500,612000,,591500,,500000,,-3,,121,,8.3
CAULFIELD,,629000,622000,722500,726000,890000,,,760000,,793000,830000,843000,765000,,873000,,550000,,14,,39,,3.3
CAULFIELD EAST,,237000,530000,322500,470000,303000,,,350000,,540000,550000,682500,691500,,660000,,320000,,-5,,179,,10.8
CAULFIELD NORTH,,549000,620000,585000,580000,689500,,,610000,,730000,747000,711000,668500,,655000,,535000,,-2,,19,,1.8
CAULFIELD SOUTH,,705000,750000,755000,740000,780000,,,707000,,995000,1089500,1020000,1150000,,909000,,855500,,-21,,29,,2.6
CHADSTONE,,485000,515500,675000,751500,691500,,,785000,,787000,820000,850000,888000,,733000,,842000,,-17,,51,,4.2
CHELSEA,,420000,482500,522500,600000,610000,,,604000,,635000,685000,690000,688000,,695000,,705000,,1,,65,,5.2
CHELSEA HEIGHTS,,329500,423500,487500,599000,585000,,,605000,,645000,720000,615000,626000,,741000,,NA,,18,,125,,8.4
CHELTENHAM,,477000,509000,510000,606500,568000,,,591000,,608500,595000,668000,660000,,705000,,506500,,7,,48,,4.0
CHELTENHAM EAST,,433000,506000,640500,655000,565000,,,590000,,662500,682500,650000,726000,,630000,,681000,,-13,,45,,3.8
CHELTENHAM NORTH,,420000,520000,536000,600500,540000,,,620000,,697000,795500,729000,813500,,815000,,695000,,0,,94,,6.9
CHIRNSIDE PARK,,497000,464000,476500,495000,532500,,,598000,,620000,675000,700500,701000,,712500,,715000,,2,,43,,3.7
CLARINDA,,450000,540500,515000,666000,710000,,,678000,,722000,781000,816000,810000,,744000,,885000,,-8,,65,,5.2
CLAYTON,,520000,590000,545000,549500,540000,,,605000,,650000,731000,700000,680000,,748000,,570000,,10,,44,,3.7
CLAYTON NORTH,,465000,530000,629500,709000,643500,,,610000,,624000,785000,687500,700000,,542000,,320000,,-23,,17,,1.5
CLAYTON SOUTH,,470000,557500,475000,466500,503500,,,522000,,518000,555000,604000,535000,,620000,,485000,,16,,32,,2.8
CLIFTON HILL,,564000,575000,743500,679000,749500,,620000,,750000,,756000,638000,737000,840000,,,940000,,14,49                 4.1,,,
CLIFTON SPRINGS,,285000 ^,277000,321000,369000,,425000,^,421000,^,418500,445000,520000,553500,507500,,,540000,,-8,78,,,5.9
CLYDE NORTH,,405500 ^,211000,^   372000,387500,,460500,,498000,,467000,455000,535000,535000,473500,,,NA,,-11,17,,,1.6
COBRAM,,185000,170000,193000,185000,,180000,,215000,,210000,238500,285000,295000,346500,,,315000,,17,87,,,6.5
COBURG,,453000,482500,485000,500000,,550000,,550000,,530000,577500,605000,590500,639500,,,730500,,8,41,,,3.5
COBURG EAST,,540000,530000,515000,575000,,575000,,623000,,617000,683500,685000,732500,650000,,,312500,,-11,20,,,1.9
COBURG NORTH,,412000,498500,525500,535000,,600000,,572000,,641000,720000,660000,787500,679500,,,740000,,-14,65,,,5.1
COLAC,,208500,203000,269500,225000,,245000,,312500,,301000,343500,380000,440000,423500,,,495000,,-4,103,,,7.3
COLLINGWOOD,,585000,544500,540000,605000,,612500,,660000,,675000,670000,693000,642500,610000,,,630000,,-5,4,,,0.4
CORIO,,222500,206500,218000,255000,,298500,,310000,,312500,375000,410000,381500,377500,,,377500,,-1,70,,,5.4
COWES,,328000,305000,276000,305000,,310000,,346000,,332500,490000,587500,446000,640000,,,668500,,44,95,,,6.9
COWES WEST,,340000,337000,350000,399500,,429500,,443000,,429000,680000,710000,662000,630000,,,679000,,-5,85,,,6.4
CRAIGIEBURN,,335000,339500,349000,367000,,393500,,380000,,377500,430000,430000,440500,430000,,,438500,,-2,28,,,2.5
CRANBOURNE,,265000,281500,285000,358500,,400000,,365000,,395000,447000,480000,450000,490000,,,472000,,9,85,,,6.3
CRANBOURNE EAST,,345000,379000,379000,418500,,440000,,427500,^,415000,451500,502500,510000,510000,,,565000,,0,48,,,4.0
CRANBOURNE NORTH,,369000,330500,375000,405000,,407500,,425000,^,395000,450000,500000,506000,490000,,,495000,,-3,33,,,2.9
CRANBOURNE WEST,,306500,316000,379000,393000,,390000,,385000,,440000,480000,527500,537500,515500,,,485000,,-4,68,,,5.3
CREMORNE,,599500,680000,590000,764000,,753000,,745000,,559000,625500,703500,625000,600000,,,732500,,-4,0,,,0.0
CRIB POINT,,270000,305000,290000,340000,,415000,,405000,,400000,495000,535000,560000,555000,,,476000,,-1,106,,,7.5
CROYDON,,409000,449000,500000,560000,,580000,,567000,,600000,660000,661000,675000,700000,,,640000,,4,71,,,5.5
CROYDON NORTH,,411000,482500,524500,615000,,623000,,610000,,645500,706000,741500,715000,726000,,,698000,,2,77,,,5.9
CROYDON SOUTH,,450000,540500,560000,633000,,695500,,654000,,685500,810000,777500,755500,787500,,,815000,,4,75,,,5.8
DALLAS,,220500 ^,280000,264000,350000,,372500,,429000,,390000,445000,425000,447500,427500,,,480000,,-4,94,,,6.8
DANDENONG,,304500,320000,334500,360000,,362000,,340000,,380000,410000,398000,400000,410000,,,395000,,3,35,,,3.0
DANDENONG NORTH,,326000,350000,405000,450000,,475000,,430000,,466000,517500,550000,529500,580000,,,519000,,10,78,,,5.9
DARLEY,,307000 ^,278500,273000,321000,,314000,,310000,,315000,352500,430000,406500,412500,,,436500,,2,34,,,3.0
DAYLESFORD,,315000,325000,323500,380000,,417500,^,535000,,440000,600000,610000,585000,565000,,,612500,,-3,79,,,6.0
DEANSIDE,,-,-,-,-,,459000,^,459000,,459000,429000,511500,558000,532500,,,417000,,-5,NA,,,NA
DEEPDENE,,690500,810000,960500,1290000,,1042500,,1060000,,1550000,1795000,1365000,1160500,1073500,,,807000,,-8,55,,,4.5
DEER PARK,,322000,315000,345000,421000,,447500,,460000,,464500,485000,498000,486000,511000,,,557000,,5,59,,,4.7
DELAHEY,,325000,346000,360000,375000,^,415000,^,400000,,427500,470500,475000,465000,477500,,,NA,,3,47,,,3.9
DIAMOND CREEK,,475000,500000,585000,594500,,601000,,670000,,650000,730500,732500,790000,825500,,,823000,,4,74,,,5.7
DINGLEY VILLAGE,,475000,505000,550000,580000,,640000,,600000,,635000,785500,750000,740000,755000,,,695000,,2,59,,,4.7
DOCKLANDS,,559500,645000,633000,560000,617000,,620000,,,590000,571000,618000,592000,,592500,,625000,,0,,6,,0.6
DONCASTER,,549000,577000,571000,600000,590000,,651500,,,600000,687500,640000,650500,,625000,,577500,,-4,,14,,1.3
DONCASTER EAST,,597500,650000,658000,651000,637500,,798000,,,725000,899500,800000,880000,,888000,,884000,,1,,49,,4.0
DONVALE,,567500,655000,650000,750000,685000,,756000,,,762500,854000,880000,965000,,872500,,842500,,-10,,54,,4.4
DOREEN,,204000,135500,379000,365500,442500,,430000   ^,,,425500,530000,542500,539000,,525000,,485000,,-3,,157,,9.9
DOVETON,,308000,315000,322500,380000,445500,,400000,,,420000,480000,523000,520000,,544500,,531000,,5,,77,,5.9
DROMANA,,467500,400000,532500,507000,680000,,582500,,,595000,780000,825000,790000,,792500,,677500,,0,,70,,5.4
DROUIN,,240000,245000,250000,281500,334000,,334000,,,346000,399000,432500,445500,,450000,,432500,,1,,88,,6.5
DRYSDALE,,300000,303000,325000,309000,382500,,392500,,,413500,465000,550000,517500,,550000,,470000,,6,,83,,6.2
EAGLEHAWK,,235000,237500,^   220000,224000,219000,,242000,,,269000,359500,410000,413500,,357500,,367000,,-13,,52,,4.3
EAGLEMONT,,650000,807500,725000,758000,1265000,,785000,,,743000,1362500,922000,1317500,,870000,,NA,,-34,,34,,3.0
EAST BENDIGO,,270500 ^,270000,325000  ^,337000,322000,,331000,,,320000,380000,449000,420000,,477500,,540000,,14,,77,,5.8
EAST GEELONG,,318500,325000,369000,313000,385000,,415000,,,410000,660000,413000,440000,,545000,,537000,,24,,71,,5.5
EAST MELBOURNE,,565000,695000,1258000,730000,750000,,615000,,,700000,767000,872000,657500,,725000,,899000,,10,,28,,2.5
ECHUCA,,246000,255000,274000,283000,278000,,272500,,,295500,336500,370000,371000,,455000,,425000,,23,,85,,6.3
EDITHVALE,,475000,482000,565000,700000,709000,,710000,,,717000,807000,800000,865000,,800000,,900000,,-8,,68,,5.4
ELSTERNWICK,,561000,558000,595000,711000,635000,,635000,,,715000,693000,681500,641000,,714000,,561500,,11,,27,,2.4
ELTHAM,,495000,549000,562000,687500,661500,,650000,,,728000,800000,800000,725000,,780000,,823500,,8,,58,,4.7
ELTHAM NORTH,,475000,704000,^   760000,675000,^,630000,^,709500,^,810000,978500,807500,865000,,848000,,1151500,,-2,,79,,6.0
ELWOOD,,587000,615500,630000,664000,662500,,680000,,,652500,730000,675000,673000,,655000,,610000,,-3,,12,,1.1
